Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
YP_308670,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),RefSeq,GCF_000864105.1,NC_007363,,"Xu,X., Subbarao, Cox,N.J., Guo,Y., Subbarao,K.",8/26/2005,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,H5N1,7,2,matrix protein 2,,,,,,,,PRJNA485481,matrix protein 2 [Influenza A virus (A/goose/Guangdong/1/1996(H5N1))]
YP_308671,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),RefSeq,GCF_000864105.1,NC_007363,,"Xu,X., Subbarao, Cox,N.J., Guo,Y., Subbarao,K.",8/26/2005,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,H5N1,7,2,matrix protein 1,,,,,,,,PRJNA485481,matrix protein 1 [Influenza A virus (A/goose/Guangdong/1/1996(H5N1))]
YP_308672,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),RefSeq,GCF_000864105.1,NC_007364,,"Xu,X., Subbarao, Cox,N.J., Guo,Y., Subbarao,K.",8/26/2005,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,H5N1,8,1,nonstructural protein 2,,,,,,,,PRJNA485481,nonstructural protein 2 [Influenza A virus (A/goose/Guangdong/1/1996(H5N1))]
YP_308673,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),RefSeq,GCF_000864105.1,NC_007364,,"Xu,X., Subbarao, Cox,N.J., Guo,Y., Subbarao,K.",8/26/2005,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),230,H5N1,8,1,nonstructural protein 1,,,,,,,,PRJNA485481,nonstructural protein 1 [Influenza A virus (A/goose/Guangdong/1/1996(H5N1))]
AID48223,Influenza A virus (A/mallard/Heilongjiang/HLJ-69/2013(H5N1)),GenBank,GCA_038694985.1,KJ907636,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,H5N1,1,,polymerase PB2,China: Heilongjiang,China,,Anas platyrhynchos,feces,8/1/2013,,,polymerase PB2 [Influenza A virus (A/mallard/Heilongjiang/HLJ-69/2013(H5N1))]
AID48224,Influenza A virus (A/mallard/Heilongjiang/HLJ-69/2013(H5N1)),GenBank,GCA_038694985.1,KJ907637,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,H5N1,2,,polymerase PB1,China: Heilongjiang,China,,Anas platyrhynchos,feces,8/1/2013,,,polymerase PB1 [Influenza A virus (A/mallard/Heilongjiang/HLJ-69/2013(H5N1))]
AID48225,Influenza A virus (A/mallard/Heilongjiang/HLJ-69/2013(H5N1)),GenBank,GCA_038694985.1,KJ907638,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,H5N1,3,,polymerase PA,China: Heilongjiang,China,,Anas platyrhynchos,feces,8/1/2013,,,polymerase PA [Influenza A virus (A/mallard/Heilongjiang/HLJ-69/2013(H5N1))]
AID48226,Influenza A virus (A/mallard/Heilongjiang/HLJ-69/2013(H5N1)),GenBank,GCA_038694985.1,KJ907639,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,,hemagglutinin,China: Heilongjiang,China,,Anas platyrhynchos,feces,8/1/2013,,,hemagglutinin [Influenza A virus (A/mallard/Heilongjiang/HLJ-69/2013(H5N1))]
AID48227,Influenza A virus (A/mallard/Heilongjiang/HLJ-69/2013(H5N1)),GenBank,GCA_038694985.1,KJ907640,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,H5N1,5,,nucleocapsid protein,China: Heilongjiang,China,,Anas platyrhynchos,feces,8/1/2013,,,nucleocapsid protein [Influenza A virus (A/mallard/Heilongjiang/HLJ-69/2013(H5N1))]
AID48228,Influenza A virus (A/mallard/Heilongjiang/HLJ-69/2013(H5N1)),GenBank,GCA_038694985.1,KJ907641,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),449,H5N1,6,,neuraminidase,China: Heilongjiang,China,,Anas platyrhynchos,feces,8/1/2013,,,neuraminidase [Influenza A virus (A/mallard/Heilongjiang/HLJ-69/2013(H5N1))]
AID48229,Influenza A virus (A/mallard/Heilongjiang/HLJ-69/2013(H5N1)),GenBank,GCA_038694985.1,KJ907642,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,H5N1,7,,matrix protein 1,China: Heilongjiang,China,,Anas platyrhynchos,feces,8/1/2013,,,matrix protein 1 [Influenza A virus (A/mallard/Heilongjiang/HLJ-69/2013(H5N1))]
AID48230,Influenza A virus (A/mallard/Heilongjiang/HLJ-69/2013(H5N1)),GenBank,GCA_038694985.1,KJ907642,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,H5N1,7,,matrix protein 2,China: Heilongjiang,China,,Anas platyrhynchos,feces,8/1/2013,,,matrix protein 2 [Influenza A virus (A/mallard/Heilongjiang/HLJ-69/2013(H5N1))]
AID48231,Influenza A virus (A/mallard/Heilongjiang/HLJ-69/2013(H5N1)),GenBank,GCA_038694985.1,KJ907643,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,H5N1,8,,nonstructural protein 1,China: Heilongjiang,China,,Anas platyrhynchos,feces,8/1/2013,,,nonstructural protein 1 [Influenza A virus (A/mallard/Heilongjiang/HLJ-69/2013(H5N1))]
AID48232,Influenza A virus (A/mallard/Heilongjiang/HLJ-69/2013(H5N1)),GenBank,GCA_038694985.1,KJ907643,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,H5N1,8,,nuclear export protein,China: Heilongjiang,China,,Anas platyrhynchos,feces,8/1/2013,,,nuclear export protein [Influenza A virus (A/mallard/Heilongjiang/HLJ-69/2013(H5N1))]
AID48233,Influenza A virus (A/duck/Jilin/JL-SIV/2013(H5N1)),GenBank,GCA_038685295.1,KJ907628,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,H5N1,1,,polymerase PB2,China: Jilin,China,,Anatidae,feces,4/1/2013,,,polymerase PB2 [Influenza A virus (A/duck/Jilin/JL-SIV/2013(H5N1))]
AID48234,Influenza A virus (A/duck/Jilin/JL-SIV/2013(H5N1)),GenBank,GCA_038685295.1,KJ907629,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,H5N1,2,,polymerase PB1,China: Jilin,China,,Anatidae,feces,4/1/2013,,,polymerase PB1 [Influenza A virus (A/duck/Jilin/JL-SIV/2013(H5N1))]
AID48235,Influenza A virus (A/duck/Jilin/JL-SIV/2013(H5N1)),GenBank,GCA_038685295.1,KJ907630,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,H5N1,3,,polymerase PA,China: Jilin,China,,Anatidae,feces,4/1/2013,,,polymerase PA [Influenza A virus (A/duck/Jilin/JL-SIV/2013(H5N1))]
AID48236,Influenza A virus (A/duck/Jilin/JL-SIV/2013(H5N1)),GenBank,GCA_038685295.1,KJ907631,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,,hemagglutinin,China: Jilin,China,,Anatidae,feces,4/1/2013,,,hemagglutinin [Influenza A virus (A/duck/Jilin/JL-SIV/2013(H5N1))]
AID48237,Influenza A virus (A/duck/Jilin/JL-SIV/2013(H5N1)),GenBank,GCA_038685295.1,KJ907632,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,H5N1,5,,nucleocapsid protein,China: Jilin,China,,Anatidae,feces,4/1/2013,,,nucleocapsid protein [Influenza A virus (A/duck/Jilin/JL-SIV/2013(H5N1))]
AID48238,Influenza A virus (A/duck/Jilin/JL-SIV/2013(H5N1)),GenBank,GCA_038685295.1,KJ907633,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),449,H5N1,6,,neuraminidase,China: Jilin,China,,Anatidae,feces,4/1/2013,,,neuraminidase [Influenza A virus (A/duck/Jilin/JL-SIV/2013(H5N1))]
AID48239,Influenza A virus (A/duck/Jilin/JL-SIV/2013(H5N1)),GenBank,GCA_038685295.1,KJ907634,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,H5N1,7,,matrix protein 1,China: Jilin,China,,Anatidae,feces,4/1/2013,,,matrix protein 1 [Influenza A virus (A/duck/Jilin/JL-SIV/2013(H5N1))]
AID48240,Influenza A virus (A/duck/Jilin/JL-SIV/2013(H5N1)),GenBank,GCA_038685295.1,KJ907634,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,H5N1,7,,matrix protein 2,China: Jilin,China,,Anatidae,feces,4/1/2013,,,matrix protein 2 [Influenza A virus (A/duck/Jilin/JL-SIV/2013(H5N1))]
AID48241,Influenza A virus (A/duck/Jilin/JL-SIV/2013(H5N1)),GenBank,GCA_038685295.1,KJ907635,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,H5N1,8,,nonstructural protein 1,China: Jilin,China,,Anatidae,feces,4/1/2013,,,nonstructural protein 1 [Influenza A virus (A/duck/Jilin/JL-SIV/2013(H5N1))]
AID48242,Influenza A virus (A/duck/Jilin/JL-SIV/2013(H5N1)),GenBank,GCA_038685295.1,KJ907635,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,H5N1,8,,nuclear export protein,China: Jilin,China,,Anatidae,feces,4/1/2013,,,nuclear export protein [Influenza A virus (A/duck/Jilin/JL-SIV/2013(H5N1))]
AID48243,Influenza A virus (A/great tit/Panjing/PJ-66/2013(H5N1)),GenBank,GCA_038701375.1,KJ907620,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,H5N1,1,,polymerase PB2,China: Panjing,China,,Parus major,feces,10/1/2013,,,polymerase PB2 [Influenza A virus (A/great tit/Panjing/PJ-66/2013(H5N1))]
AID48244,Influenza A virus (A/great tit/Panjing/PJ-66/2013(H5N1)),GenBank,GCA_038701375.1,KJ907621,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,H5N1,2,,polymerase PB1,China: Panjing,China,,Parus major,feces,10/1/2013,,,polymerase PB1 [Influenza A virus (A/great tit/Panjing/PJ-66/2013(H5N1))]
AID48245,Influenza A virus (A/great tit/Panjing/PJ-66/2013(H5N1)),GenBank,GCA_038701375.1,KJ907622,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,H5N1,3,,polymerase PA,China: Panjing,China,,Parus major,feces,10/1/2013,,,polymerase PA [Influenza A virus (A/great tit/Panjing/PJ-66/2013(H5N1))]
AID48246,Influenza A virus (A/great tit/Panjing/PJ-66/2013(H5N1)),GenBank,GCA_038701375.1,KJ907623,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,,hemagglutinin,China: Panjing,China,,Parus major,feces,10/1/2013,,,hemagglutinin [Influenza A virus (A/great tit/Panjing/PJ-66/2013(H5N1))]
AID48247,Influenza A virus (A/great tit/Panjing/PJ-66/2013(H5N1)),GenBank,GCA_038701375.1,KJ907624,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,H5N1,5,,nucleocapsid protein,China: Panjing,China,,Parus major,feces,10/1/2013,,,nucleocapsid protein [Influenza A virus (A/great tit/Panjing/PJ-66/2013(H5N1))]
AID48248,Influenza A virus (A/great tit/Panjing/PJ-66/2013(H5N1)),GenBank,GCA_038701375.1,KJ907625,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),449,H5N1,6,,neuraminidase,China: Panjing,China,,Parus major,feces,10/1/2013,,,neuraminidase [Influenza A virus (A/great tit/Panjing/PJ-66/2013(H5N1))]
AID48249,Influenza A virus (A/great tit/Panjing/PJ-66/2013(H5N1)),GenBank,GCA_038701375.1,KJ907626,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,H5N1,7,,matrix protein 1,China: Panjing,China,,Parus major,feces,10/1/2013,,,matrix protein 1 [Influenza A virus (A/great tit/Panjing/PJ-66/2013(H5N1))]
AID48250,Influenza A virus (A/great tit/Panjing/PJ-66/2013(H5N1)),GenBank,GCA_038701375.1,KJ907626,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,H5N1,7,,matrix protein 2,China: Panjing,China,,Parus major,feces,10/1/2013,,,matrix protein 2 [Influenza A virus (A/great tit/Panjing/PJ-66/2013(H5N1))]
AID48251,Influenza A virus (A/great tit/Panjing/PJ-66/2013(H5N1)),GenBank,GCA_038701375.1,KJ907627,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,H5N1,8,,nonstructural protein 1,China: Panjing,China,,Parus major,feces,10/1/2013,,,nonstructural protein 1 [Influenza A virus (A/great tit/Panjing/PJ-66/2013(H5N1))]
AID48252,Influenza A virus (A/great tit/Panjing/PJ-66/2013(H5N1)),GenBank,GCA_038701375.1,KJ907627,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,H5N1,8,,nuclear export protein,China: Panjing,China,,Parus major,feces,10/1/2013,,,nuclear export protein [Influenza A virus (A/great tit/Panjing/PJ-66/2013(H5N1))]
AID48253,Influenza A virus (A/chicken/Wuxi/WX-33/2013(H5N1)),GenBank,GCA_038687525.1,KJ907612,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,H5N1,1,,polymerase PB2,China: Wuxi,China,,Gallus gallus,feces,5/1/2013,,,polymerase PB2 [Influenza A virus (A/chicken/Wuxi/WX-33/2013(H5N1))]
AID48254,Influenza A virus (A/chicken/Wuxi/WX-33/2013(H5N1)),GenBank,GCA_038687525.1,KJ907613,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,H5N1,2,,polymerase PB1,China: Wuxi,China,,Gallus gallus,feces,5/1/2013,,,polymerase PB1 [Influenza A virus (A/chicken/Wuxi/WX-33/2013(H5N1))]
AID48255,Influenza A virus (A/chicken/Wuxi/WX-33/2013(H5N1)),GenBank,GCA_038687525.1,KJ907614,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,H5N1,3,,polymerase PA,China: Wuxi,China,,Gallus gallus,feces,5/1/2013,,,polymerase PA [Influenza A virus (A/chicken/Wuxi/WX-33/2013(H5N1))]
AID48256,Influenza A virus (A/chicken/Wuxi/WX-33/2013(H5N1)),GenBank,GCA_038687525.1,KJ907615,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,,hemagglutinin,China: Wuxi,China,,Gallus gallus,feces,5/1/2013,,,hemagglutinin [Influenza A virus (A/chicken/Wuxi/WX-33/2013(H5N1))]
AID48257,Influenza A virus (A/chicken/Wuxi/WX-33/2013(H5N1)),GenBank,GCA_038687525.1,KJ907616,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,H5N1,5,,nucleocapsid protein,China: Wuxi,China,,Gallus gallus,feces,5/1/2013,,,nucleocapsid protein [Influenza A virus (A/chicken/Wuxi/WX-33/2013(H5N1))]
AID48258,Influenza A virus (A/chicken/Wuxi/WX-33/2013(H5N1)),GenBank,GCA_038687525.1,KJ907617,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),449,H5N1,6,,neuraminidase,China: Wuxi,China,,Gallus gallus,feces,5/1/2013,,,neuraminidase [Influenza A virus (A/chicken/Wuxi/WX-33/2013(H5N1))]
AID48259,Influenza A virus (A/chicken/Wuxi/WX-33/2013(H5N1)),GenBank,GCA_038687525.1,KJ907618,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,H5N1,7,,matrix protein 1,China: Wuxi,China,,Gallus gallus,feces,5/1/2013,,,matrix protein 1 [Influenza A virus (A/chicken/Wuxi/WX-33/2013(H5N1))]
AID48260,Influenza A virus (A/chicken/Wuxi/WX-33/2013(H5N1)),GenBank,GCA_038687525.1,KJ907618,,"Fan,S., Gao,X., Wang,T., Sun,W., Ying,Y., Li,X., Zhao,Y., Yang,S., Gao,Y., Xia,X.",1/1/2019,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,H5N1,7,,matrix protein 2,China: Wuxi,China,,Gallus gallus,feces,5/1/2013,,,matrix protein 2 [Influenza A virus (A/chicken/Wuxi/WX-33/2013(H5N1))]
